Pais_Codigo,Video_ID,Video_Snapshot_Data
BR,1OBHVAvIKX4,2024-25-10
BR,PWjZ3p1jNho,2024-25-10
BR,TaACyfiWemI,2024-25-10
BR,QOsSQBBW0eE,2024-25-10
BR,Sih0v01Wbek,2024-25-10
BR,YTfgJiAT_S0,2024-25-10
BR,aSlBE0H3CxU,2024-25-10
BR,Ar-GGmnYlbU,2024-25-10
BR,9nGH55ZYdfg,2024-25-10
BR,ij2Vr6YgWKk,2024-25-10
BR,fSHoePrnmMw,2024-25-10
BR,2pSx5Y75Cb8,2024-25-10
BR,KZ3w7oTXPTs,2024-25-10
BR,FjxQpv4NuTg,2024-25-10
BR,2g2Q449sjsw,2024-25-10
BR,eZ2f1B72lvA,2024-25-10
BR,gHm6_ex7jv0,2024-25-10
BR,qXc2c0GMp9I,2024-25-10
BR,V5bVtAej1hs,2024-25-10
BR,0Mzx86A2ddg,2024-25-10
BR,DK_sZzF-hj4,2024-25-10
BR,jB-8kmkDBpw,2024-25-10
BR,4Dr7HljrsoQ,2024-25-10
BR,ChOnpZtPUhg,2024-25-10
BR,AC8aNNki8LU,2024-25-10
BR,P4ZK6NOi0ik,2024-25-10
BR,8Ebqe2Dbzls,2024-25-10
BR,8FkacCBLmRo,2024-25-10
BR,Qt6YiVZLhG0,2024-25-10
BR,5c0_u9PsrsQ,2024-25-10
BR,jiCw0XhXTho,2024-25-10
BR,Oi9gJW2H2JA,2024-25-10
BR,z9nc8KpEpxY,2024-25-10
BR,ph3OJn9J2sM,2024-25-10
BR,7EWNE-bV7i8,2024-25-10
BR,4Q9SpqKo7hI,2024-25-10
BR,QlKZr6pR7WA,2024-25-10
BR,V7qS5VWFago,2024-25-10
BR,-Kg-EtbJwck,2024-25-10
BR,C2QgE5A80Vc,2024-25-10
BR,bKY_IGIBMQY,2024-25-10
BR,IvcD3kNkMSM,2024-25-10
BR,OKxJlxYEWtI,2024-25-10
BR,-xL_iq3LkJk,2024-25-10
BR,gaPBdXLIIJc,2024-25-10
BR,BNWRK954Sjc,2024-25-10
BR,aGLLdy2AtK4,2024-25-10
BR,wXHmoDK9WfI,2024-25-10
BR,Rzpk3fw73AE,2024-25-10
BR,cQp_W2cpfhU,2024-25-10
BR,p86X8xnRADo,2024-25-10
BR,B-1yqeDqoZ4,2024-25-10
BR,QBp-xzNzAEE,2024-25-10
BR,BHg-DLn-zGI,2024-25-10
BR,w3JnajnnjIA,2024-25-10
BR,49J_vPgrQMI,2024-25-10
BR,x--vfRhaP0Q,2024-25-10
BR,_xbtOB6s4uA,2024-25-10
BR,bPNr8Wr3qkk,2024-25-10
BR,dL6LM4DyzU8,2024-25-10
BR,pqQ00QqJEys,2024-25-10
BR,dPVnmDgSkj0,2024-25-10
BR,6tkO5LrCYQY,2024-25-10
BR,jWQx2f-CErU,2024-25-10
BR,-EZAEALlvlg,2024-25-10
BR,Qer3lwd5hyA,2024-25-10
BR,HiozOVPBseA,2024-25-10
BR,KY4W8d8OzaA,2024-25-10
BR,8Sadwy5tm48,2024-25-10
BR,V2I3x75DZg4,2024-25-10
BR,w_a_qB1HTEg,2024-25-10
BR,45Tpao3bz20,2024-25-10
BR,J5CDQF16AQM,2024-25-10
BR,jxQi7525h4o,2024-25-10
BR,74-0CnDVjq8,2024-25-10
BR,G5iVoJQjWQY,2024-25-10
BR,6QcJvC4YtZU,2024-25-10
BR,ShDz6QIt7OE,2024-25-10
BR,KCNtiFhhkWA,2024-25-10
BR,tbDGl7jEazA,2024-25-10
BR,sI_9rkAfVwE,2024-25-10
BR,5NKVtIu3ZZo,2024-25-10
BR,vmiz9MXImyk,2024-25-10
BR,kLCytMTycxI,2024-25-10
BR,jLdzm_O-qkE,2024-25-10
BR,2dg1QB5Go58,2024-25-10
BR,CRCQ6Btlllc,2024-25-10
BR,v3z3LP-6KnQ,2024-25-10
BR,ptu4hXjPeGI,2024-25-10
BR,MjTeJX0ioE4,2024-25-10
BR,jLIFyBJafSI,2024-25-10
BR,WjpmruGrsv0,2024-25-10
BR,UbuzEuf73pg,2024-25-10
BR,i0aZVFeY6ok,2024-25-10
BR,D_ZmeXLgCNM,2024-25-10
BR,qCDhtzw3Cfg,2024-25-10
BR,GX2MqgNJxzU,2024-25-10
BR,qV5LsxBF7IM,2024-25-10
BR,bosSjPJCYzk,2024-25-10
BR,NWe5wvplUQU,2024-25-10
BR,AMZ1agiO77o,2024-25-10
BR,8ddcLApB9hQ,2024-25-10
BR,ekr2nIex040,2024-25-10
BR,rlVJB1gYeSg,2024-25-10
BR,oEIxqn-MXMU,2024-25-10
BR,6hzdm2goo2c,2024-25-10
BR,i2ncfiVBkV0,2024-25-10
BR,2EyTMbAIfjI,2024-25-10
BR,36gdgZ163YM,2024-25-10
BR,ViBp8wJsCfI,2024-25-10
BR,wPYsobp3bIo,2024-25-10
BR,DQutkZCWAlc,2024-25-10
BR,ldG2t3dBWlg,2024-25-10
BR,BX7ZVrr-UFo,2024-25-10
BR,cjcAwMBVEqQ,2024-25-10
BR,vUSk-jdXE48,2024-25-10
BR,GytDA4kSWiw,2024-25-10
BR,GjCNoZF9HxQ,2024-25-10
BR,Yrfi6kciDxs,2024-25-10
BR,XDQsasjkBEI,2024-25-10
BR,YjyCmSZBJGw,2024-25-10
BR,OfLxJInnHoc,2024-25-10
BR,sewp-n6oJ90,2024-25-10
BR,Ii4Lu50F2Vw,2024-25-10
BR,-pwc9VOIruk,2024-25-10
BR,74cxeHsgC9w,2024-25-10
BR,iHj-MoQp6UI,2024-25-10
BR,XAgCzOpDBQA,2024-25-10
BR,D6t6FpJ9R88,2024-25-10
BR,_ovBuLncf1M,2024-25-10
BR,YUDbl9qBihk,2024-25-10
BR,zgUwi6RmC9Q,2024-25-10
BR,eX4IMlRI5NQ,2024-25-10
BR,NwFoeaTyx_Q,2024-25-10
BR,HVAWb-kFE4w,2024-25-10
BR,5ktbV3Td24Q,2024-25-10
BR,I_hWVbiaweY,2024-25-10
BR,ArpWnAJtGmU,2024-25-10
BR,4s_CY9ucDZM,2024-25-10
BR,4GTHeJJBE-U,2024-25-10
BR,1vi3gjsqS6M,2024-25-10
BR,-VYMqHQvKD4,2024-25-10
BR,JokOc2Dsbf0,2024-25-10
BR,xhq2MxzzAVo,2024-25-10
BR,iWB1WCvhLTc,2024-25-10
BR,Opi9VywFSxg,2024-25-10
BR,4TgQo5O22j8,2024-25-10
BR,_VwVGwNA3Xs,2024-25-10
BR,WS0vTRl_2PQ,2024-25-10
BR,kq__kczVKcI,2024-25-10
BR,J6mQx6c0oIM,2024-25-10
BR,hGm41ej-uK8,2024-25-10
BR,wL8l4GQEg_g,2024-25-10
BR,OnVVkIQx9fQ,2024-25-10
BR,gkZ4dLMH-B8,2024-25-10
BR,Ir-pYboVx7s,2024-25-10
BR,RpcnpVsw3oU,2024-25-10
BR,I-dCR2w5r9s,2024-25-10
BR,pSIdPvrv7IE,2024-25-10
BR,s9qVh65wA4U,2024-25-10
BR,EyT6aDlbgqU,2024-25-10
BR,C3wPtKNbAOA,2024-25-10
BR,eMk_0svqsnI,2024-25-10
BR,0MZQtSQG4Ec,2024-25-10
BR,EBLwnSrcj3U,2024-25-10
BR,urqy5xYsZ7U,2024-25-10
BR,THRobd2rcHc,2024-25-10
BR,a7J1VXst2Zw,2024-25-10
BR,yXRlrix-pPk,2024-25-10
BR,6vOm3gWQinQ,2024-25-10
BR,HBa4ZbVjWD4,2024-25-10
BR,ziUjuEKrFZc,2024-25-10
BR,IflhWeBu6mA,2024-25-10
BR,KHf4hb5iJhE,2024-25-10
BR,I3assbYThus,2024-25-10
BR,F-p_K-BatQ0,2024-25-10
BR,0NQPMTJ9rh0,2024-25-10
BR,u-L0WDEGjWs,2024-25-10
BR,0Po5kDB8RpY,2024-25-10
BR,EcG-AsVptew,2024-25-10
BR,VbcROqv5Asw,2024-25-10
BR,n010hikA238,2024-25-10
BR,ARxdsGOsLI0,2024-25-10
BR,iFcRNEF5uWo,2024-25-10
BR,BxXsy7jhU3c,2024-25-10
BR,JHOZ0huVuh0,2024-25-10
BR,xwtogD-Yvuw,2024-25-10
BR,CLJDR-vFUdY,2024-25-10
BR,p7VYJREpzUo,2024-25-10
BR,XvNxyJZRDmw,2024-25-10
BR,gTt3XM-hLMk,2024-25-10
BR,W5g_pNXnHjw,2024-25-10
BR,F81WLZePruE,2024-25-10
BR,w2GCREKHV6A,2024-25-10
BR,aohVeshXMWs,2024-25-10
BR,kzoVVgflsNk,2024-25-10
BR,JMOvj_WV-Gk,2024-25-10
BR,bw8AKEyIq1I,2024-25-10
BR,zrNmLefrQ3k,2024-25-10
BR,qzF61Vnmpu4,2024-25-10
